Leaked composite object at 0x559a46fbdef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x559a46fbeee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x559a46fbef20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x559a46fbef60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x559a46fbdf20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x559a46fbdf50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x559a46fbdf80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x559a46fbdfb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x559a46fbdfe0 (tests/leak_test.c:12, sz=4, NORMAL)

