Leaked composite object at 0x55ec2d9edef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x55ec2d9eeee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x55ec2d9eef20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x55ec2d9eef60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x55ec2d9edf20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x55ec2d9edf50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x55ec2d9edf80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x55ec2d9edfb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x55ec2d9edfe0 (tests/leak_test.c:12, sz=4, NORMAL)

