Leaked composite object at 0x55d221dcaef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x55d221dcbee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x55d221dcbf20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x55d221dcbf60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x55d221dcaf20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x55d221dcaf50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x55d221dcaf80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x55d221dcafb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x55d221dcafe0 (tests/leak_test.c:12, sz=4, NORMAL)

